Actual,Predicted
31.4,32.209908
15.250000000000002,16.090178
29.509999999999998,22.949299
43.33,31.034779
23.68,28.379627
34.11,30.953152
34.11,30.953152
21.6,25.591753
15.26,16.404938
29.820000000000004,30.475454
40.47,25.170218
30.9,32.916424
26.62,21.704695
32.59,30.011421
29.58,27.199398
40.47,35.16401
22.56,24.099762
36.14,28.841335
16.22,15.255446
16.61,16.280025
15.630000000000003,14.796437
18.58,20.923859
30.54,38.844517
21.6,24.589947
36.31,25.19193
23.45,25.072777
23.98,28.06122
21.92,23.773657
22.42,21.311659
50.08,40.114956
37.88,33.402397
20.42,20.299274
23.43,23.089216
27.77,26.66525
18.34,19.466139
25.05,28.774921
18.28,19.121407
28.000000000000004,27.506237
27.770000000000003,28.122187
31.56,25.124567
33.98,32.40835
18.54,19.305727
20.52,23.543087
20.42,19.893166
25.38,32.403492
29.780000000000005,26.240374
37.37,29.331774
18.28,30.440323
18.34,19.023752
18.43,57.665585
18.39,16.718607
13.48,14.039484
13.48,13.655644
19.02,20.255598
15.63,14.500568
17.09,15.553375
18.56,18.136862
15.78,15.809881
18.5,16.440672
74.9,66.06944
20.43,19.86979
13.9,14.871182
18.49,17.855303
19.2,18.343763
29.85,23.853855
28.549999999999997,30.94049
20.42,20.939043
20.12,21.836136
28.6,28.182043
27.77,28.160767
22.47,29.136196
40.0,57.62024
28.17,31.023264
18.29,18.879637
25.52,25.048656
20.4,22.078196
53.53000000000001,39.184975
23.89,20.789248
18.28,18.009779
24.83,25.556768
34.23,31.803556
18.51,19.042633
29.109999999999996,25.070034
27.77,27.337324
25.05,26.9305
43.0,39.611885
33.27,35.636086
34.54,35.36917
35.1,34.129955
18.28,17.64285
20.42,20.39136
19.87,19.490047
15.86,14.3452635
18.28,17.479435
27.759999999999998,25.88067
22.8,24.45611
20.43,26.002405
27.45,25.733242
18.34,17.388845
18.5,19.84954
27.66,27.115744
25.29,27.935003
27.9,27.089277
15.39,16.821867
26.86,26.304007
20.42,21.053827
24.63,21.916142
19.88,19.6623
18.41,20.19771
20.45,20.83226
18.42,19.842037
14.28,14.341243
20.4,24.325916
30.9,50.378994
24.879999999999995,19.596367
20.35,21.99895
18.51,18.81924
27.77,29.794096
15.41,15.388291
20.41,19.542583
19.72,19.57255
27.77,24.309982
18.29,18.797338
20.42,22.533844
