Actual,Predicted
23.21,19.445219
21.31,22.99451
16.43,18.013578
30.0,27.002245
13.48,5.2583833
9.34,8.139028
18.28,16.410387
15.27,13.805915
18.5,18.44387
16.3,17.245182
18.63,18.622124
7.429999999999999,11.243607
20.140000000000004,18.122372
18.48,17.595814
20.32,19.387756
19.8,18.979355
32.76,35.545006
18.39,16.986078
18.0,16.668348
15.410000000000002,13.806752
27.52,25.994356
20.42,21.724169
28.13,25.854399
15.409999999999998,15.077535
18.39,18.497658
18.29,17.865938
18.41,18.156149
20.43,19.539394
19.13,18.871891
19.31,19.076424
35.67,51.162422
47.98,114.48604
34.56,113.55521
18.53,27.622543
18.64,18.827154
20.43,20.262938
28.21,24.942202
15.580000000000002,16.418768
27.770000000000003,19.78949
27.65,23.743664
27.249999999999996,36.087646
40.81,36.728607
40.81,36.728607
18.39,19.987476
18.56,19.058136
19.84,19.474754
19.84,19.474754
18.37,45.879116
15.309999999999999,15.779408
27.8,25.935614
27.46,26.1501
19.73,23.3582
28.78,26.407063
27.229999999999997,37.707947
19.74,13.210857
25.65,26.064886
24.19,28.027832
20.44,21.350313
19.2,24.67811
20.73,20.55849
25.89,23.138796
22.06,25.065775
15.459999999999999,15.994511
18.52,19.575483
34.49,23.12435
18.28,18.014597
20.440000000000005,19.13545
21.01,22.858885
17.28,18.263243
27.769999999999996,23.607084
28.26,27.477325
20.92,19.08959
24.36,27.840187
18.89,56.819443
18.43,19.05609
13.57,14.410232
17.61,19.104008
16.07,17.619717
15.41,16.126303
33.26,66.805725
32.48,30.467693
32.92,31.199587
30.08,28.282774
31.74,32.870354
33.77,32.406704
34.54,33.4398
35.46,34.23085
33.25,32.57527
31.08,32.70339
34.54,34.876133
33.25,33.658188
51.510000000000005,37.1392
38.7,48.911884
50.51,58.70982
32.23,93.36687
51.35,99.96098
39.59,49.540688
33.26,38.137882
33.26,31.955774
87.38,67.289856
33.25,33.31874
33.26,88.57421
33.25,61.381287
63.56,94.58204
52.90999999999999,54.294346
39.42,39.825554
82.71,127.56756
48.239999999999995,46.010883
32.6,31.119448
52.8,43.683205
42.73,45.404522
61.41,58.272102
28.36,29.336103
54.13,49.392303
33.25,37.345
29.85,28.610962
33.26,31.049355
22.27,24.584364
29.26,26.82906
34.19,31.806007
38.49,35.38896
31.749999999999996,30.854305
33.26,33.45325
33.99,31.400364
34.54,34.309174
34.16,34.408657
34.55,33.854237
31.75,31.855434
32.58,33.995693
34.55,34.305634
38.47,36.74287
34.54,34.029755
34.86,35.200195
35.95,36.524044
33.24,33.35053
32.73,33.42723
27.17,27.330418
33.85,31.883366
42.44,39.959248
31.75,27.3836
33.26,31.986856
27.15,25.674725
27.180000000000003,26.208782
27.17,28.983225
37.28,32.784523
36.13,42.050953
915.0,221.67804
869.96,742.0398
161.97,637.00574
31.75,31.718538
27.079999999999995,21.701841
23.29,23.958046
31.739999999999995,29.325224
31.61,28.78134
38.95,40.516235
27.16,24.669758
30.799999999999997,27.07781
27.05,28.213074
31.209999999999997,35.772587
33.11,31.439188
91.76,297.24728
31.739999999999995,29.906746
31.74,32.83026
31.650000000000002,39.955242
24.16,25.901558
25.05,22.60334
27.91,57.854195
27.17,22.592798
27.19,28.670095
31.74,30.294533
32.37,10.241975
45.029999999999994,95.603546
31.6,33.076706
31.75,30.039948
27.180000000000003,27.565052
27.18,26.173695
22.18,25.257269
27.9,33.841366
39.47,65.842186
32.9,24.359865
32.83,31.883516
32.79,31.019331
27.14,28.057089
31.749999999999996,32.543037
30.86,29.845453
32.49,30.779228
33.25,32.272243
33.25,31.891418
36.18,32.97777
965.03,601.5022
35.06,34.402103
40.99,37.410507
46.62,44.42945
33.67,38.82164
32.55,32.64325
42.55,40.90897
33.25,35.006607
45.34,42.382797
45.34,42.382797
54.36000000000001,39.331055
33.22,33.47162
33.22,31.35191
44.99,39.388206
33.13,14.502111
66.87,103.15866
66.87,103.15866
90.54,83.24877
52.39,50.62715
57.93,47.311707
45.0,42.16711
33.23,36.535057
50.83,49.00257
71.56,74.88606
130.81,132.9755
73.87,12.233777
620.15,329.62582
926.64,592.1206
97.37,222.05179
84.16,52.836426
43.22,42.98118
48.96,46.69053
762.54,89.02758
44.57,72.34011
33.2,37.62416
33.17,34.73836
95.56,174.0948
753.04,326.64822
63.47,219.00356
41.65,48.96016
42.44,59.646744
33.22,35.111458
27.03,29.584402
29.609999999999996,33.104225
30.169999999999998,30.00569
46.58,82.87352
33.57,36.438034
28.459999999999997,32.314888
24.39,25.35304
908.58,712.63654
52.54,115.65877
24.54,15.408147
29.46,71.94814
31.94,76.385635
402.97,563.03217
292.39,631.637
70.54,105.00149
33.8,26.519608
42.79,46.096466
43.67,44.494694
33.52,34.00124
25.489999999999995,88.26675
30.35,81.13
33.77,86.91179
33.1,33.301285
86.25,244.58829
32.68,31.86751
34.2,34.50317
35.14,37.418488
33.49,31.861486
45.11,40.683983
34.43,48.83938
32.78,32.99661
33.14,32.2061
28.109999999999996,26.939152
28.53,26.612448
33.91,34.06268
95.57999999999998,139.68184
32.1,35.917137
29.03,27.956179
29.41,31.462713
30.48,29.891949
33.0,31.952454
33.4,34.74637
34.19,33.682747
33.84,88.29385
32.33,85.195625
33.86,45.782444
32.76,29.212694
31.060000000000002,22.996529
33.31,32.695732
28.31,27.985794
34.51,37.931187
