Date,Event Type,Asset,Message,SMP,Price Spike (>$200),Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2017-01-14 10:57:00,online,Sundance 6,Sundance 6 on line,25.87,NO,25.87,0.0,2017-01-14 10:57:00,0.0,21.4,17.278701198299196,2017-01-14 13:55:00,178.0,24.509722222222166,23.173000000000076,9950.0,0.0,0.0,0.0,0.0
2017-01-15 00:48:00,offline,line 2,Sheerness 2 off line.,19.0,NO,19.0,0.0,2017-01-15 00:48:00,0.0,18.39,3.210526315789475,2017-01-15 02:17:00,89.0,19.48916666666667,18.477722222222187,9159.0,0.0,0.0,0.0,0.0
2017-01-15 18:24:00,other,Path 1,Path 1 return to service.,43.95,NO,43.95,0.0,2017-01-15 18:24:00,0.0,36.74,16.405005688282138,2017-01-15 19:16:00,52.0,36.20827777777779,40.43872222222225,10285.0,-7.0,-11.0,0.0,0.0
2017-01-15 19:32:00,offline,HR Milner,HR Milner Offline,36.74,NO,41.96,14.207947740881878,2017-01-15 20:52:00,80.0,27.77,24.414806750136098,2017-01-15 22:16:00,164.0,42.30544444444443,37.576666666666696,10209.0,-39.0,-42.0,0.0,0.0
2017-01-15 19:59:00,offline,Keephills 2,Keephills 2 Off line,39.5,NO,41.96,6.2278481012658204,2017-01-15 20:52:00,53.0,27.72,29.822784810126592,2017-01-15 22:35:00,156.0,42.64277777777777,35.91938888888894,10209.0,-39.0,-42.0,0.0,0.0
2017-01-15 22:09:00,online,line 2,Sheerness 2 On line,30.0,NO,30.0,0.0,2017-01-15 22:09:00,0.0,18.84,37.2,2017-01-16 00:56:00,167.0,38.74344444444446,24.507888888888903,9609.0,-31.0,-15.0,-16.0,0.0
2017-01-16 23:48:00,online,Sundance 5,Sundance 5 online.,18.39,NO,18.5,0.5981511691136365,2017-01-17 00:00:00,12.0,18.39,0.0,2017-01-16 23:48:00,0.0,19.494833333333318,18.444666666666627,9333.0,155.0,146.0,11.0,0.0
2017-01-18 04:43:00,online,Keephills 2,Keephills 2 Online,18.28,NO,20.42,11.706783369803064,2017-01-18 07:13:00,150.0,18.28,0.0,2017-01-18 04:43:00,0.0,18.28000000000006,18.770666666666674,8811.0,26.0,35.0,-10.0,0.0
2017-01-18 07:45:00,offline,Path 83,Path 83 out of service,20.42,NO,21.4,4.799216454456401,2017-01-18 07:51:00,6.0,18.91,7.394711067580806,2017-01-18 09:45:00,120.0,18.794444444444455,20.60316666666672,9972.0,245.0,219.0,24.0,0.0
2017-01-18 07:51:00,offline,Sundance 6,Sundance 6 Offline.,21.4,NO,21.4,0.0,2017-01-18 07:51:00,0.0,18.91,11.635514018691584,2017-01-18 09:45:00,114.0,18.865777777777797,20.600500000000054,9972.0,245.0,219.0,24.0,0.0
2017-01-18 08:12:00,online,Path 83,Path 83 in service,20.88,NO,21.4,2.490421455938696,2017-01-18 08:16:00,4.0,18.51,11.350574712643668,2017-01-18 11:00:00,168.0,19.195111111111167,20.389500000000073,10143.0,150.0,146.0,5.0,0.0
2017-01-18 08:17:00,online,Path 83,Path 83 in service,21.4,NO,21.4,0.0,2017-01-18 08:17:00,0.0,18.5,13.551401869158875,2017-01-18 11:14:00,177.0,19.270222222222277,20.32061111111119,10143.0,150.0,146.0,5.0,0.0
2017-01-18 12:04:00,online,Sundance 4,Sundance 4 on line,18.5,NO,18.5,0.0,2017-01-18 12:04:00,0.0,18.39,0.5945945945945885,2017-01-18 13:40:00,96.0,19.58027777777778,18.470777777777755,10012.0,-15.0,12.0,48.0,-76.0
2017-01-18 12:32:00,online,Sundance 4,Sundance 4 on line,18.5,NO,18.5,0.0,2017-01-18 12:32:00,0.0,18.39,0.5945945945945885,2017-01-18 13:40:00,68.0,19.281611111111093,18.47077777777779,10012.0,-15.0,12.0,48.0,-76.0
2017-01-18 13:40:00,other,Path 83,Path 83 TTC values returned to normal: Import (S-N)=310MW and Export (N-S)=315Mw,18.39,NO,20.42,11.038607939097345,2017-01-18 16:21:00,161.0,18.39,0.0,2017-01-18 13:40:00,0.0,18.700333333333337,18.674000000000017,9999.0,-4.0,25.0,48.0,-76.0
2017-01-18 22:18:00,offline,other,Calgary Energy Center Offline,18.41,NO,18.41,0.0,2017-01-18 22:18:00,0.0,15.41,16.29549158066268,2017-01-19 01:03:00,165.0,19.35327777777781,18.13355555555556,9589.0,212.0,128.0,89.0,0.0
2017-01-19 12:03:00,online,other,Calgary Energy Centre on line.,20.44,NO,20.44,0.0,2017-01-19 12:03:00,0.0,18.51,9.442270058708413,2017-01-19 12:18:00,15.0,37.44038888888884,18.667444444444506,10239.0,-81.0,-74.0,-9.0,0.0
2017-01-20 01:01:00,frequency deviation,Frequency 59.857,Frequency excursion to 59.857 Hz due to loss of generation external to Alberta.,15.41,NO,15.41,0.0,2017-01-20 01:01:00,0.0,15.41,0.0,2017-01-20 01:01:00,0.0,15.409999999999988,15.409999999999988,8995.0,194.0,76.0,116.0,0.0
2017-01-20 13:41:00,online,Sundance 6,Sundance 6 On Line,36.2,NO,36.2,0.0,2017-01-20 13:41:00,0.0,34.8,3.8674033149171394,2017-01-20 16:38:00,177.0,34.74816666666668,35.43583333333339,10074.0,129.0,-45.0,175.0,0.0
