Date,Event Type,Asset,Message,SMP Spike After Event (>$200),Pool Price Spike After Event (>$200),Event SMP ($/MW),Event Pool Price ($/MW),Max Pool Price After Event,Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2019-07-24 09:41:00,maintenance,AESO,The AESO is doing planned system maintenance today between 10:00 and 12:00 MDT. There will be no impact to ETS or ADaMS  however   there may be a couple brief instances where there will be a delay in the updating of AESO reports.,NO,NO,33.87,33.86,45.17,52.21,54.14821375848835,2019-07-24 10:15:00,34.0,32.59,3.779155594921746,2019-07-24 12:00:00,139.0,32.50138888888891,37.663277777777786,10091.0,-341.0,-185.0,-157.0,0.0
2019-07-25 22:31:00,online,Battle 4,Battle River 4 online,NO,NO,28.61,28.6,33.88,32.95,15.169521146452292,2019-07-25 23:00:00,29.0,28.55,0.20971688220901008,2019-07-26 01:28:00,177.0,32.04538888888881,31.4956666666666,9661.0,7.0,-34.0,41.0,0.0
2019-07-27 01:13:00,offline,Battle 3,Battle River 3 offline,NO,NO,28.57,28.55,33.05,28.57,0.0,2019-07-27 01:13:00,0.0,28.54,0.10500525026251317,2019-07-27 01:34:00,21.0,31.874944444444438,28.54349999999997,8792.0,-15.0,84.0,-100.0,0.0
2019-07-29 09:52:00,maintenance,AESO,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements and updates to reports may be delayed.,NO,NO,33.88,33.74,78.49,91.62,170.42502951593858,2019-07-29 12:37:00,165.0,33.88,0.0,2019-07-29 09:52:00,0.0,31.48355555555555,78.4353333333333,9855.0,-53.0,-40.0,-16.0,0.0
2019-07-31 09:27:00,maintenance,AESO,The AESO is doing planned maintenance today between 10am and 12pm. No impact to ETS or ADaMS  however   there may be a couple brief instances where there will be a delay in the updating of AESO reports.,NO,NO,32.61,33.25,103.96,111.71,242.5636307881018,2019-07-31 11:08:00,101.0,32.61,0.0,2019-07-31 09:27:00,0.0,32.72438888888882,67.51827777777773,9998.0,-219.0,-126.0,-90.0,0.0
2019-08-01 13:07:00,offline,offline 2,Sheerness 2 offline,YES,NO,395.0,489.18,489.18,958.65,142.69620253164555,2019-08-01 13:37:00,30.0,34.34,91.30632911392405,2019-08-01 14:07:00,60.0,81.35911111111105,192.84511111111092,10403.0,-420.0,-274.0,-146.0,0.0
2019-08-02 10:50:00,online,Sheerness 1,Sheerness unit 1 On Line,NO,NO,28.57,28.54,34.19,34.33,20.161008050402508,2019-08-02 13:04:00,134.0,28.57,0.0,2019-08-02 10:50:00,0.0,32.51905555555549,31.49616666666666,10478.0,-858.0,-608.0,-250.0,0.0
2019-08-06 09:14:00,maintenance,AESO,The AESO is doing maintenance today at 09:15 for approx 10 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone.,YES,YES,34.9,34.92,324.77,992.51,2743.868194842407,2019-08-06 11:44:00,150.0,34.9,0.0,2019-08-06 09:14:00,0.0,34.92283333333327,196.16488888888873,10062.0,-26.0,40.0,-66.0,0.0
2019-08-07 04:00:00,online,Battle 3,Battle River unit #3 on line,NO,NO,33.07,33.06,33.99,33.78,2.1469609918355115,2019-08-07 06:12:00,132.0,33.05,0.0604777744179108,2019-08-07 04:19:00,19.0,33.39822222222217,33.24649999999998,8679.0,6.0,6.0,1.0,0.0
2019-08-08 12:51:00,offline,Sundance 4,Sundance 4 offline.,YES,YES,99.03,95.48,762.83,962.34,871.7661314753105,2019-08-08 13:12:00,21.0,78.44,20.791679289104316,2019-08-08 14:07:00,76.0,69.88888888888889,669.3059999999998,10600.0,-229.0,-134.0,-99.0,0.0
