Actual,Predicted
36.57,37.31981
15.250000000000002,14.911362
32.29,26.355858
21.41,18.677422
22.94,24.468061
26.83,35.76624
35.76,29.95804
24.66,24.500479
31.02,25.595623
32.45,34.16169
20.840000000000003,23.133617
21.39,21.984724
16.6,20.45281
36.71,36.79617
38.5,37.08542
15.25,16.295734
12.37,12.87735
18.87,16.07214
15.25,16.099108
15.46,15.426149
15.26,15.133364
27.99,25.374138
31.52,34.896324
54.7,39.83495
15.34,15.396918
15.459999999999999,19.052729
15.460000000000003,16.40267
15.39,15.520606
19.47,24.162075
15.43,15.982284
18.77,19.050142
22.740000000000002,23.80658
15.55,18.00099
42.66,37.28311
28.000000000000004,29.21897
29.41,32.348087
26.92,28.632027
18.39,19.142046
21.95,23.259382
48.13,41.83101
22.12,22.191563
27.77,26.910582
30.78,37.448517
18.11,18.10593
22.44,28.608746
24.36,24.648918
13.42,19.504494
14.47,15.402949
18.38,49.902824
15.41,15.201053
18.39,18.242416
18.35,18.258091
13.48,13.871648
16.99,17.260292
14.54,16.250898
19.83,18.87848
18.04,16.197939
16.63,16.949648
18.93,20.634953
18.31,17.94223
18.29,18.363848
20.43,20.387665
13.48,13.691789
30.68,32.96016
24.58,30.487366
20.23,4.1895604
20.42,26.352537
20.23,4.1895604
27.51,21.91256
20.43,22.233406
18.75,17.265291
18.92,20.419724
19.94,20.389269
27.899999999999995,23.928436
27.499999999999996,23.368156
27.75,30.20581
23.06,23.603794
27.47,30.618023
21.4,21.305773
23.89,21.974049
18.4,19.131506
38.6,31.580938
19.35,20.946918
20.05,20.413904
20.38,20.40415
38.58,34.533363
20.3,21.036634
15.400000000000002,15.273523
18.37,19.24022
18.29,18.790861
17.92,18.894842
15.41,16.084875
20.43,21.398735
21.97,23.474804
18.39,18.174953
18.29,18.282284
25.29,31.495924
15.39,17.970646
27.77,32.036774
19.29,19.084665
20.42,21.745678
18.81,19.694828
15.41,15.349244
18.39,20.821857
31.5,23.423426
16.57,15.910096
18.6,19.048004
18.06,15.830845
18.43,20.177921
15.18,14.072503
18.39,20.367157
18.65,19.84953
27.77,28.413513
20.43,21.38899
15.41,15.988588
19.88,22.225058
18.43,18.701534
16.85,18.246452
19.8,19.831755
16.85,18.246452
15.41,18.361723
18.51,18.742188
18.29,18.38621
20.42,20.602753
18.3,20.764095
18.33,17.247217
19.96,22.768536
27.78,28.719566
16.32,18.218153
15.4,17.024387
15.600000000000001,18.0818
14.69,15.282045
18.32,18.238321
21.96,28.783321
13.48,9.436567
15.41,14.11772
18.28,18.3943
11.149999999999999,14.609434
18.51,19.902836
20.42,21.379457
16.22,16.872585
13.85,14.447301
18.39,18.486065
27.600000000000005,25.708206
15.4,16.8074
18.43,19.116209
15.399999999999999,14.604287
18.4,22.9958
18.39,22.719028
14.97,16.220518
18.61,19.704243
20.43,25.357862
29.599999999999998,28.237825
18.0,18.355124
15.41,16.146667
15.4,15.428123
18.39,18.634567
23.19,21.190521
18.39,21.309938
21.68,15.312624
27.93,33.81896
18.58,9.865242
22.16,39.967396
20.43,21.372475
26.76,25.612553
20.43,21.669012
27.77,32.61753
27.23,29.08156
27.77,29.613497
18.73,19.60189
27.769999999999996,30.204197
27.769999999999996,27.321907
17.23,18.101414
18.4,19.752512
28.0,64.94115
18.48,19.184
18.51,26.630905
15.38,24.338749
18.39,26.49549
29.95,27.517769
28.36,28.402815
23.02,21.318111
27.77,26.534546
18.28,21.079948
20.79,25.642637
20.42,21.589687
18.39,21.561203
22.870000000000005,24.114338
15.459999999999999,17.659264
18.28,17.998701
18.29,18.007711
24.48,23.873657
17.47,16.005978
18.44,19.795706
18.36,19.83768
277.01,47.109917
295.57,238.2974
18.44,2.8367593
20.96,22.004654
13.32,13.5639105
9.57,15.618058
21.9,18.292767
27.77,29.20685
18.27,17.829329
15.41,16.656551
15.59,19.305872
13.3,15.173041
31.990000000000002,30.520748
27.419999999999998,27.51239
33.26,33.312977
34.05,34.806847
32.97,35.03459
31.45,31.302692
34.55,34.73357
27.16,28.658813
27.16,28.658813
27.18,28.368563
29.809999999999995,28.33074
33.81,35.358162
36.61,72.03354
44.09,66.99409
156.95,174.58109
55.32,79.96774
50.76,31.172676
78.97,58.569683
46.36,46.770687
33.26,35.98636
31.740000000000002,31.807716
50.4,72.91392
32.69,32.57659
73.11,107.680435
33.54,55.662773
383.62,145.16394
51.00999999999999,39.702267
50.78,59.057137
68.84,71.786156
83.73,72.155334
79.09,101.89635
36.4,34.63609
40.11,41.45318
33.44,34.63526
37.36,41.3008
32.11,36.84757
33.26,34.790962
33.25,34.164463
33.25,35.344376
33.03,32.289402
33.46,35.089947
25.21,26.554926
31.75,33.668087
29.26,29.596813
32.93,33.27683
33.5,37.009983
33.26,32.804287
34.53,33.712276
33.07,32.413586
34.28,34.795273
27.18,28.169138
32.41,32.715843
34.54,34.91678
33.42,34.17837
33.26,33.49409
33.54,32.87981
32.75,31.959267
31.740000000000002,30.554745
33.26,37.804012
28.1,29.845156
27.180000000000003,30.320152
33.26,35.446934
26.77,26.047583
27.15,26.191776
41.35,42.229538
8.52,21.259777
32.6,33.080177
31.610000000000003,31.650763
28.64,32.136192
27.14,23.187288
31.05,30.663445
26.15,27.642036
36.73,70.723045
27.19,18.573418
32.48,37.403515
29.140000000000004,29.358984
31.210000000000004,30.992086
27.16,27.752108
217.15,50.19364
