Actual,Predicted
36.57,37.801266
15.250000000000002,15.414692
32.29,27.453747
21.41,19.328247
22.94,27.669558
26.83,33.259804
35.76,27.313148
24.66,28.346785
31.02,23.452423
32.45,32.268364
20.840000000000003,24.089363
21.39,20.193205
16.6,19.153906
36.71,37.286934
38.5,37.468487
15.25,16.085382
12.37,12.836
18.87,16.072994
15.25,15.5628195
15.46,15.609752
15.26,14.880621
27.99,34.395985
31.52,32.702812
54.7,40.003128
15.34,15.592678
15.459999999999999,17.27065
15.460000000000003,16.704857
15.39,16.121063
19.47,22.546612
15.43,18.029932
18.77,19.306978
22.740000000000002,24.31733
15.55,17.787096
42.66,38.21862
28.000000000000004,28.448395
29.41,32.05038
26.92,29.042624
18.39,19.819174
21.95,22.614103
48.13,43.92552
22.12,24.709154
27.77,29.072508
30.78,35.515026
18.11,19.408312
22.44,29.958313
24.36,23.931408
13.42,20.507528
14.47,15.558264
18.38,68.06727
15.41,15.276295
18.39,18.302073
18.35,18.221165
13.48,14.023724
16.99,16.622309
14.54,15.672496
19.83,19.161755
18.04,16.285173
16.63,17.33935
18.93,20.528233
18.31,17.680132
18.29,17.98225
20.43,20.183868
13.48,13.836495
30.68,30.347023
24.58,24.538685
20.23,28.438969
20.42,46.12702
20.23,28.438969
27.51,21.47478
20.43,21.302713
18.75,17.791437
18.92,19.367453
19.94,20.11355
27.899999999999995,22.550901
27.499999999999996,22.646858
27.75,29.04463
23.06,24.978483
27.47,29.105942
21.4,20.767914
23.89,20.655638
18.4,18.620564
38.6,29.873951
19.35,21.314648
20.05,20.452003
20.38,20.18547
38.58,33.351524
20.3,22.178394
15.400000000000002,16.081053
18.37,18.78795
18.29,18.239954
17.92,18.146154
15.41,16.132433
20.43,21.683031
21.97,21.834837
18.39,18.84437
18.29,18.461584
25.29,32.007935
15.39,15.449716
27.77,32.589455
19.29,20.142576
20.42,22.593548
18.81,18.863047
15.41,15.595776
18.39,19.69518
31.5,23.15371
16.57,16.090767
18.6,23.902582
18.06,17.774221
18.43,19.436548
15.18,13.800115
18.39,21.112986
18.65,20.185143
27.77,27.226353
20.43,20.445908
15.41,15.513203
19.88,21.16558
18.43,18.739721
16.85,17.83481
19.8,19.371878
16.85,17.83481
15.41,18.305601
18.51,18.344427
18.29,17.928026
20.42,20.418245
18.3,19.430555
18.33,19.327154
19.96,21.389122
27.78,25.850353
16.32,19.4714
15.4,19.627897
