Actual,Predicted
47.07,154.90782
45.89,154.90782
31.750000000000004,98.75097
33.26,98.19582
34.28,19.71436
28.53,26.254913
32.88,29.627441
16.53,22.972971
31.29,59.44744
33.24,197.60187
41.65,69.65061
33.25,136.75572
31.739999999999995,36.227615
29.76,130.1923
27.19,30.587547
32.61,59.847507
33.26,126.23134
919.05,215.34619
40.13,46.149174
46.06,46.149174
37.81,36.008747
45.91,36.17896
31.740000000000002,27.4728
31.74,30.787992
37.300000000000004,36.450214
52.33,71.09514
32.98,30.990725
30.290000000000003,40.61789
33.13,101.238075
50.98,61.63867
82.21,61.63867
78.04,56.579887
57.04,69.230774
41.22,54.60512
47.24,37.13238
49.36,37.93573
71.56,44.154713
47.8,37.93573
757.1300000000001,184.7852
53.529999999999994,65.4353
119.36999999999999,216.39987
76.72,246.4382
166.64,246.4382
95.92,96.67222
55.49,135.64827
47.22,38.755505
74.77,183.68867
175.42,171.40265
37.43,162.24272
33.22,168.70357
41.84,35.882385
33.92,37.235973
243.85,162.01903
50.16,169.96744
53.34,169.53786
25.93,27.247849
28.46,33.23922
26.51,31.01836
32.59,161.90378
33.57,33.30469
26.279999999999998,32.165302
26.279999999999998,32.165302
32.4,201.4044
30.93,201.4044
33.77,170.13467
31.94,167.32483
19.24,160.34613
28.65,196.27321
34.36,60.690365
46.58,60.690365
102.95,207.1513
33.57,78.43599
35.16,35.782322
29.13,167.9272
31.51,167.9272
31.950000000000003,163.93129
85.88999999999999,178.53198
32.82,22.582636
35.11,38.87918
35.14,38.87918
19.51,22.471382
25.54,124.49705
32.88,124.49705
33.51,67.86493
33.62,128.64682
33.37,27.219416
33.15,27.561924
33.56,35.752617
34.0,35.752617
55.92,33.049934
782.48,171.63051
95.57999999999998,175.03473
29.57,52.594025
28.51,20.040524
31.79,36.182068
33.0,42.629627
28.5,115.58139
32.93,27.75316
33.41,27.75316
28.56,84.64983
41.66,174.96838
29.97,129.47469
43.42,188.08072
32.84,35.137783
32.45,33.763123
32.8,36.283043
32.83,36.283043
28.88,36.815376
28.07,36.815376
31.22,71.60614
